,Store,Date,Temperature
0,1,2010-02-05,64.51
1,1,2010-02-12,47.21
2,1,2010-02-19,48.84
3,1,2010-02-26,77.31
4,1,2010-03-05,68.32
5,1,2010-03-12,81.86
6,1,2010-03-19,66.83
7,1,2010-03-26,72.6
8,1,2010-04-02,79.66
9,1,2010-04-09,30.4
10,1,2010-04-16,65.66
11,1,2010-04-23,14.17
12,1,2010-04-30,49.05
13,1,2010-05-07,51.67
14,1,2010-05-14,93.36
15,1,2010-05-21,62.3
16,1,2010-05-28,76.81
17,1,2010-06-04,91.03
18,1,2010-06-11,59.88
19,1,2010-06-18,76.14
20,1,2010-06-25,66.25
21,1,2010-07-02,30.47
22,1,2010-07-09,51.13
23,1,2010-07-16,48.83
24,1,2010-07-23,54.14
25,1,2010-07-30,62.91
26,1,2010-08-06,89.35
27,1,2010-08-13,83.21
28,1,2010-08-20,47.24
29,1,2010-08-27,83.42
30,1,2010-09-03,59.75
31,1,2010-09-10,65.99
32,1,2010-09-17,58.49
33,1,2010-09-24,68.26
34,1,2010-10-01,69.97
35,1,2010-10-08,17.0
36,1,2010-10-15,79.1
37,1,2010-10-22,68.01
38,1,2010-10-29,75.68
39,1,2010-11-05,57.28
40,1,2010-11-12,52.64
41,1,2010-11-19,71.41
42,1,2010-11-26,62.04
43,1,2010-12-03,58.49
44,1,2010-12-10,43.24
45,1,2010-12-17,68.16
46,1,2010-12-24,55.94
47,1,2010-12-31,68.51
48,1,2011-01-07,54.21
49,1,2011-01-14,64.37
50,1,2011-01-21,58.19
51,1,2011-01-28,31.04
52,1,2011-02-04,32.04
53,1,2011-02-11,47.84
54,1,2011-02-18,38.62
55,1,2011-02-25,67.59
56,1,2011-03-04,70.9
57,1,2011-03-11,59.78
58,1,2011-03-18,18.86
59,1,2011-03-25,67.75
60,1,2011-04-01,76.66
61,1,2011-04-08,70.42
62,1,2011-04-15,57.34
63,1,2011-04-22,66.09
64,1,2011-04-29,19.78
65,1,2011-05-06,90.28
66,1,2011-05-13,80.84
67,1,2011-05-20,26.37
68,1,2011-05-27,76.32
69,1,2011-06-03,39.65
70,1,2011-06-10,26.86
71,1,2011-06-17,89.63
72,1,2011-06-24,81.11
73,1,2011-07-01,60.54
74,1,2011-07-08,74.36
75,1,2011-07-15,84.32
76,1,2011-07-22,79.33
77,1,2011-07-29,52.73
78,1,2011-08-05,59.18
79,1,2011-08-12,74.6
80,1,2011-08-19,46.59
81,1,2011-08-26,77.17
82,1,2011-09-02,43.84
83,1,2011-09-09,70.98
84,1,2011-09-16,82.21
85,1,2011-09-23,81.81
86,1,2011-09-30,53.95
87,1,2011-10-07,64.26
88,1,2011-10-14,11.04
89,1,2011-10-21,86.68
90,1,2011-10-28,67.1
91,1,2011-11-04,49.71
92,1,2011-11-11,66.48
93,1,2011-11-18,80.7
94,1,2011-11-25,67.01
95,1,2011-12-02,55.43
96,1,2011-12-09,93.85
97,1,2011-12-16,59.2
98,1,2011-12-23,69.04
99,1,2011-12-30,84.12
100,1,2012-01-06,76.79
101,1,2012-01-13,93.68
102,1,2012-01-20,79.98
103,1,2012-01-27,51.05
104,1,2012-02-03,77.42
105,1,2012-02-10,62.24
106,1,2012-02-17,40.74
107,1,2012-02-24,74.55
108,1,2012-03-02,49.43
109,1,2012-03-09,73.09
110,1,2012-03-16,62.56
111,1,2012-03-23,77.04
112,1,2012-03-30,43.66
113,1,2012-04-06,53.99
114,1,2012-04-13,24.41
115,1,2012-04-20,53.31
116,1,2012-04-27,85.98
117,1,2012-05-04,24.29
118,1,2012-05-11,29.82
119,1,2012-05-18,53.34
120,1,2012-05-25,37.85
121,1,2012-06-01,59.03
122,1,2012-06-08,71.22
123,1,2012-06-15,69.24
124,1,2012-06-22,79.67
125,1,2012-06-29,68.92
126,1,2012-07-06,68.34
127,1,2012-07-13,58.54
128,1,2012-07-20,87.94
129,1,2012-07-27,63.19
130,1,2012-08-03,55.02
131,1,2012-08-10,53.58
132,1,2012-08-17,61.12
133,1,2012-08-24,67.34
134,1,2012-08-31,39.31
135,1,2012-09-07,58.02
